iter    71 | steps   2,326,528 | SPS   1,179 | r_p0 +0.190 r_p1 -0.190 | clip_frac 0.300 | KL 0.0103 | H_fire 0.130 H_ang 4.16 H_ship 2.57 | V_loss 0.0023 | LR 0.000100 | early_stop=0
iter    72 | steps   2,359,296 | SPS   1,179 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.298 | KL 0.0108 | H_fire 0.151 H_ang 4.16 H_ship 2.57 | V_loss 0.0014 | LR 0.000100 | early_stop=0
iter    73 | steps   2,392,064 | SPS   1,179 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.298 | KL 0.0131 | H_fire 0.203 H_ang 4.16 H_ship 2.56 | V_loss 0.0014 | LR 0.000100 | early_stop=0
iter    74 | steps   2,424,832 | SPS   1,179 | r_p0 +0.160 r_p1 -0.160 | clip_frac 0.303 | KL 0.0156 | H_fire 0.240 H_ang 4.16 H_ship 2.56 | V_loss 0.0028 | LR 0.000100 | early_stop=0
iter    75 | steps   2,457,600 | SPS   1,180 | r_p0 +0.190 r_p1 -0.190 | clip_frac 0.308 | KL 0.0188 | H_fire 0.254 H_ang 4.15 H_ship 2.56 | V_loss 0.0022 | LR 0.000100 | early_stop=0
iter    76 | steps   2,490,368 | SPS   1,180 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.311 | KL 0.0151 | H_fire 0.248 H_ang 4.14 H_ship 2.54 | V_loss 0.0031 | LR 0.000100 | early_stop=0
iter    77 | steps   2,523,136 | SPS   1,180 | r_p0 +0.030 r_p1 -0.030 | clip_frac 0.313 | KL 0.0156 | H_fire 0.231 H_ang 4.12 H_ship 2.51 | V_loss 0.0034 | LR 0.000100 | early_stop=0
iter    78 | steps   2,555,904 | SPS   1,178 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.313 | KL 0.0140 | H_fire 0.214 H_ang 4.13 H_ship 2.50 | V_loss 0.0070 | LR 0.000100 | early_stop=0
iter    79 | steps   2,588,672 | SPS   1,178 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.309 | KL 0.0117 | H_fire 0.122 H_ang 4.17 H_ship 2.58 | V_loss 0.0022 | LR 0.000100 | early_stop=0
iter    80 | steps   2,621,440 | SPS   1,178 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.306 | KL 0.0122 | H_fire 0.174 H_ang 4.16 H_ship 2.57 | V_loss 0.0019 | LR 0.000100 | early_stop=0
iter    81 | steps   2,654,208 | SPS   1,179 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.307 | KL 0.0118 | H_fire 0.241 H_ang 4.16 H_ship 2.57 | V_loss 0.0020 | LR 0.000100 | early_stop=0
iter    82 | steps   2,686,976 | SPS   1,179 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.313 | KL 0.0125 | H_fire 0.272 H_ang 4.16 H_ship 2.57 | V_loss 0.0022 | LR 0.000100 | early_stop=0
iter    83 | steps   2,719,744 | SPS   1,179 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.319 | KL 0.0119 | H_fire 0.264 H_ang 4.15 H_ship 2.57 | V_loss 0.0031 | LR 0.000100 | early_stop=0
iter    84 | steps   2,752,512 | SPS   1,179 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.324 | KL 0.0124 | H_fire 0.245 H_ang 4.14 H_ship 2.56 | V_loss 0.0032 | LR 0.000100 | early_stop=0
iter    85 | steps   2,785,280 | SPS   1,179 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.326 | KL 0.0125 | H_fire 0.233 H_ang 4.13 H_ship 2.53 | V_loss 0.0030 | LR 0.000100 | early_stop=0
iter    86 | steps   2,818,048 | SPS   1,177 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.326 | KL 0.0133 | H_fire 0.199 H_ang 4.14 H_ship 2.54 | V_loss 0.0064 | LR 0.000100 | early_stop=0
iter    87 | steps   2,850,816 | SPS   1,177 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.323 | KL 0.0095 | H_fire 0.148 H_ang 4.17 H_ship 2.59 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    88 | steps   2,883,584 | SPS   1,178 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.322 | KL 0.0113 | H_fire 0.198 H_ang 4.16 H_ship 2.59 | V_loss 0.0019 | LR 0.000100 | early_stop=0
iter    89 | steps   2,916,352 | SPS   1,178 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.325 | KL 0.0106 | H_fire 0.248 H_ang 4.16 H_ship 2.59 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    90 | steps   2,949,120 | SPS   1,178 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.331 | KL 0.0122 | H_fire 0.266 H_ang 4.16 H_ship 2.59 | V_loss 0.0022 | LR 0.000100 | early_stop=0
iter    91 | steps   2,981,888 | SPS   1,178 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.336 | KL 0.0153 | H_fire 0.259 H_ang 4.15 H_ship 2.58 | V_loss 0.0021 | LR 0.000100 | early_stop=0
